[25/Jan/2020 15:09:42] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[25/Jan/2020 15:09:42] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:252] Watching dir /home/joaquin/django/test_project_postgre/locale with glob **/*.mo.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:252] Watching dir /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/admin/locale with glob **/*.mo.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:252] Watching dir /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/auth/locale with glob **/*.mo.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:252] Watching dir /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:252] Watching dir /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:252] Watching dir /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/messages/locale with glob **/*.mo.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:252] Watching dir /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:252] Watching dir /home/joaquin/django/test_project_postgre/blog/locale with glob **/*.mo.
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/distutils/debug.py first seen with mtime 1572280234.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/json/__init__.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/dis.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/html/__init__.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/sqlparse/exceptions.py first seen with mtime 1575597290.3829722
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/keyword.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/checks/security/sessions.py first seen with mtime 1579901557.694654
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/auth/hashers.py first seen with mtime 1579901557.3786216
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/http.py first seen with mtime 1579901557.7666614
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/serializers/base.py first seen with mtime 1579901557.7066553
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1579901557.6906536
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/conf/__init__.py first seen with mtime 1579901556.9865813
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/dateparse.py first seen with mtime 1579901557.7666614
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/html.py first seen with mtime 1579901557.7666614
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/auth/views.py first seen with mtime 1579901557.3786216
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/getopt.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/checks/security/__init__.py first seen with mtime 1579901557.694654
